ID	Ima	Campo (T.m)	Corrente  rms	Campo Normalizado	Media Normalizada	Desvio Padrao Minimo	Desvio Padrao Maximo	Media Normalizada	Desvio Padrao Minimo	Desvio Padrao Maximo
13942	S15-249	-359.7544	167.7974	-359.7529	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13970	S15-057	-359.5984	167.7982	-359.5986	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14002	S15-059	-359.0729	167.7968	-359.0701	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14032	S15-058	-359.3700	167.7983	-359.3704	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14062	S15-056	-359.6577	167.7982	-359.6579	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14090	S15-244	-359.9075	167.7984	-359.9081	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14118	S15-245	-359.7188	167.7984	-359.7194	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14149	S15-235	-359.7715	167.7964	-359.7679	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14178	S15-260	-359.6756	167.7974	-359.6741	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14206	S15-257	-359.6470	167.7977	-359.6461	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14234	S15-274	-359.5156	167.7974	-359.5141	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14264	S15-262	-359.7407	167.7976	-359.7396	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14293	S15-265	-359.6512	167.7976	-359.6501	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14323	S15-086	-359.5896	167.7974	-359.5881	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14351	S15-085	-359.5763	167.7977	-359.5754	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14379	S15-083	-359.1710	167.7971	-359.1689	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14408	S15-084	-359.3150	167.7969	-359.3124	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14451	S15-272	-359.4200	167.7983	-359.4204	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14468	S15-284	-359.8907	167.7964	-359.8871	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14498	S15-285	-359.7788	167.7977	-359.7779	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14528	S15-286	-359.8482	167.7957	-359.8431	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14558	S15-214	-359.2959	167.7990	-359.2978	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14589	S15-205	-359.5375	167.7967	-359.5345	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14660	S15-217	-359.2110	167.7993	-359.2136	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14688	S15-218	-359.7073	167.7995	-359.7103	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14716	S15-281	-359.6723	167.7993	-359.6749	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14745	S15-271	-359.1950	167.7992	-359.1974	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14775	S15-275	-359.2310	167.8011	-359.2374	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14805	S15-276	-360.3924	167.7993	-360.3950	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14835	S15-224	-359.7024	167.7976	-359.7013	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14864	S15-234	-359.4949	167.7980	-359.4947	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14894	S15-215	-358.9831	167.7979	-358.9827	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14922	S15-223	-359.8180	167.7984	-359.8186	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
